city,neighborhood,apartment_price_sqm,villa_price_sqm,ipai_apartment,ipai_villa
rabat,Haut Agdal,21235.0,14902.0,118.23,116.6
rabat,Riyad,18608.0,10950.0,118.23,116.6
rabat,Hay Riad,17863.0,,119.7,118.1
rabat,Akkari,16189.0,,118.23,116.6
rabat,Agdal,15888.0,,118.9,117.2
rabat,Quartier Administratif,15162.0,12541.0,118.23,116.6
rabat,Yacoub El Mansour,14887.0,,118.23,116.6
rabat,Hassan - Centre Ville,14763.0,,118.23,116.6
rabat,Aviation - Mabella,14369.0,8501.0,118.23,116.6
rabat,Agdal Riyad,15944.0,15244.0,118.23,116.6
rabat,Souissi,12440.0,7905.0,118.23,116.6
rabat,Hassan,12406.0,18473.0,117.5,115.9
rabat,El Youssoufia,11650.0,12215.0,118.23,116.6
rabat,Yacoub El Mansour,10953.0,14585.0,118.23,116.6
rabat,Souissi,22461.0,9319.0,118.23,116.6
rabat,Haut Agdal,21235.0,14902.0,118.23,116.6
rabat,Riyad,18608.0,10950.0,118.23,116.6
rabat,Hay Riad,17863.0,,119.7,118.1
rabat,Akkari,16189.0,,118.23,116.6
rabat,Agdal,15888.0,,118.9,117.2
rabat,Quartier Administratif,15162.0,12541.0,118.23,116.6
rabat,Yacoub El Mansour,14887.0,,118.23,116.6
rabat,Hassan - Centre Ville,14763.0,,118.23,116.6
rabat,Aviation - Mabella,14369.0,8501.0,118.23,116.6
rabat,Agdal Riyad,15944.0,15244.0,118.23,116.6
rabat,Souissi,12440.0,7905.0,118.23,116.6
rabat,Hassan,12406.0,18473.0,117.5,115.9
rabat,El Youssoufia,11650.0,12215.0,118.23,116.6
rabat,Yacoub El Mansour,10953.0,14585.0,118.23,116.6
rabat,Souissi,22461.0,9319.0,118.23,116.6
rabat,Haut Agdal,21235.0,14902.0,118.23,116.6
rabat,Riyad,18608.0,10950.0,118.23,116.6
rabat,Hay Riad,17863.0,,119.7,118.1
rabat,Akkari,16189.0,,118.23,116.6
rabat,Agdal,15888.0,,118.9,117.2
rabat,Quartier Administratif,15162.0,12541.0,118.23,116.6
rabat,Yacoub El Mansour,14887.0,,118.23,116.6
rabat,Hassan - Centre Ville,14763.0,,118.23,116.6
rabat,Aviation - Mabella,14369.0,8501.0,118.23,116.6
rabat,Agdal Riyad,15944.0,15244.0,118.23,116.6
rabat,Souissi,12440.0,7905.0,118.23,116.6
rabat,Hassan,12406.0,18473.0,117.5,115.9
rabat,El Youssoufia,11650.0,12215.0,118.23,116.6
rabat,Yacoub El Mansour,10953.0,14585.0,118.23,116.6
rabat,Agdal Riyad,15944.0,15244.0,118.23,116.6
rabat,Souissi,12440.0,7905.0,118.23,116.6
rabat,Hassan,12406.0,18473.0,117.5,115.9
rabat,El Youssoufia,11650.0,12215.0,118.23,116.6
rabat,Yacoub El Mansour,10953.0,14585.0,118.23,116.6
rabat,Souissi,22461.0,9319.0,118.23,116.6
rabat,Haut Agdal,21235.0,14902.0,118.23,116.6
rabat,Riyad,18608.0,10950.0,118.23,116.6
rabat,Hay Riad,17863.0,,119.7,118.1
rabat,Akkari,16189.0,,118.23,116.6
rabat,Agdal,15888.0,,118.9,117.2
rabat,Quartier Administratif,15162.0,12541.0,118.23,116.6
rabat,Yacoub El Mansour,14887.0,,118.23,116.6
rabat,Hassan - Centre Ville,14763.0,,118.23,116.6
rabat,Aviation - Mabella,14369.0,8501.0,118.23,116.6
rabat,Souissi,22461.0,9319.0,118.23,116.6
rabat,Haut Agdal,21235.0,14902.0,118.23,116.6
rabat,Riyad,18608.0,10950.0,118.23,116.6
rabat,Hay Riad,17863.0,,119.7,118.1
rabat,Akkari,16189.0,,118.23,116.6
rabat,Agdal,15888.0,,118.9,117.2
rabat,Quartier Administratif,15162.0,12541.0,118.23,116.6
rabat,Yacoub El Mansour,14887.0,,118.23,116.6
rabat,Hassan - Centre Ville,14763.0,,118.23,116.6
rabat,Aviation - Mabella,14369.0,8501.0,118.23,116.6
fes,Agdal,7573.0,8683.0,107.4,106.2
fes,Saiss,7512.0,6503.0,107.4,106.2
fes,El Mariniyine,6715.0,,107.4,106.2
fes,Zouagha,6184.0,8624.0,107.4,106.2
fes,Oulad Tayeb,5551.0,,107.4,106.2
fes,Fes City Center,8049.0,,107.4,106.2
fes,Hay Moulay El Kamel,7712.0,,107.4,106.2
fes,Bourmana,7539.0,6107.0,107.4,106.2
fes,Mourabitine,7180.0,,107.4,106.2
fes,Riad,6911.0,9012.0,107.4,106.2
fes,Nouvelle Ville,6871.0,9370.0,107.4,106.2
fes,Hay Jdid,6404.0,,107.4,106.2
fes,Oued Fes,6341.0,,107.4,106.2
fes,Hay Al Azhar,6230.0,,107.4,106.2
fes,Hay Massira,6216.0,,107.4,106.2
fes,Agdal,7573.0,8683.0,107.4,106.2
fes,Saiss,7512.0,6503.0,107.4,106.2
fes,El Mariniyine,6715.0,,107.4,106.2
fes,Zouagha,6184.0,8624.0,107.4,106.2
fes,Oulad Tayeb,5551.0,,107.4,106.2
fes,Fes City Center,8049.0,,107.4,106.2
fes,Hay Moulay El Kamel,7712.0,,107.4,106.2
fes,Bourmana,7539.0,6107.0,107.4,106.2
fes,Mourabitine,7180.0,,107.4,106.2
fes,Riad,6911.0,9012.0,107.4,106.2
fes,Nouvelle Ville,6871.0,9370.0,107.4,106.2
fes,Hay Jdid,6404.0,,107.4,106.2
fes,Oued Fes,6341.0,,107.4,106.2
fes,Hay Al Azhar,6230.0,,107.4,106.2
fes,Hay Massira,6216.0,,107.4,106.2
fes,Agdal,7573.0,8683.0,107.4,106.2
fes,Saiss,7512.0,6503.0,107.4,106.2
fes,El Mariniyine,6715.0,,107.4,106.2
fes,Zouagha,6184.0,8624.0,107.4,106.2
fes,Oulad Tayeb,5551.0,,107.4,106.2
fes,Fes City Center,8049.0,,107.4,106.2
fes,Hay Moulay El Kamel,7712.0,,107.4,106.2
fes,Bourmana,7539.0,6107.0,107.4,106.2
fes,Mourabitine,7180.0,,107.4,106.2
fes,Riad,6911.0,9012.0,107.4,106.2
fes,Nouvelle Ville,6871.0,9370.0,107.4,106.2
fes,Hay Jdid,6404.0,,107.4,106.2
fes,Oued Fes,6341.0,,107.4,106.2
fes,Hay Al Azhar,6230.0,,107.4,106.2
fes,Hay Massira,6216.0,,107.4,106.2
fes,Agdal,7573.0,8683.0,107.4,106.2
fes,Saiss,7512.0,6503.0,107.4,106.2
fes,El Mariniyine,6715.0,,107.4,106.2
fes,Zouagha,6184.0,8624.0,107.4,106.2
fes,Oulad Tayeb,5551.0,,107.4,106.2
